position,company,salary range,brutto
IT analitikas (-ė),AAS „BTA Baltic Insurance Company“ filialas Lietuvoje,1700-3500,True
Vyresnysis Kompiuterių tinklo administratorius (-ė),UAB „Press Glass“,2700,True
Customer Success Specialist (Zyro.com),UAB „HOSTINGER“,"Nuo 1020,80",True
Head of Training,UAB „Baltic Ground Services“,Nuo 3300,True
Pirmo lygio klientų aptarnavimo specialistas (-ė),UAB „nSoft“,960-1560,True
PHP PROGRAMUOTOJAS (-A),ATEA grupė,1000-2000,False
IT SISTEMŲ INŽINIERIUS (-Ė),NORTHWAY ĮMONIŲ GRUPĖ,1900-2200,True
JAVA DEVELOPER,Ignitis grupė,1829-3186,True
Solution Architect in Finance & Risk at SEB in Vilnius,SEB,4500-5900,True
iOS Developer,Paysera,1200-5800,True
WEB Developer (Node.Js),UAB „FL Technics“,Nuo 2280,True
Network Engineer,Surfshark,2150-4960,True
Senior Linux SysAdmin,Surfshark,2975-4960,True
FullStack .NET Developer,ANCOR,2500-3500,False
UX/UI Designer,UAB „TV ŽAIDIMAI“,Nuo 1500,False
IT Business Analyst,"Biomapas, UAB",1000-2500,False
Vyr. analitikas,UAB „Palink“,2500-3500,True
Qlik Sense Developer,UAB „Theca Furniture“,Nuo 2300,True
IT Project Manager,UAB „Indigroup“,3000-4000,True
Senior/Lead Java Architect (DXP),UAB „EIS Group Lietuva“,6000-11000,True
Middle/Senior Business Analyst,UAB „EIS Group Lietuva“,2000-5000,True
Java System Architect (remote/work from home),UAB „EIS Group Lietuva“,4500-8000,True
Java Engineer (remote / work from home position),UAB „EIS Group Lietuva“,2000-3600,True
Test Automation Engineer (remote / work from home position),UAB „EIS Group Lietuva“,1700-3500,True
Lead Java Developer,UAB „EIS Group Lietuva“,4000-7000,True
Full-stack Developer (Java+React),UAB „EIS Group Lietuva“,1900-3400,True
Cloud Engineer (remote/work from home position),UAB „EIS Group Lietuva“,4000-6000,True
Senior Front-end Developer,UAB „EIS Group Lietuva“,3500-5500,False
QA Specialist,ANCOR,1400-3000,True
TECHNINĖS PRIEŽIŪROS SPECIALISTAS (-Ė) (MONITORINGAS),UAB Emplonet,800-1150,False
Full-stack programuotojas,UAB „Dizaino kryptis“,1500-3000,False
Web programuotojas (-a) (full-stack),UAB „Dizaino kryptis“,2100-4500,False
IS analitikas - architektas,UAB „Dizaino kryptis“,1500-3500,False
SENIOR DATA SCIENTIST (AI),UAB „SME Finance“,3500-6000,True
Information Security Specialist,UAB „Indigroup“,2815,True
Technical Client Support Specialist,Revel Systems,1352-1652,True
Senior/Regular Software Engineer,UAB „SME Finance“,3000-7000,True
Junior Software Engineer,UAB „SME Finance“,1000-2500,True
Sr. Front-End Developer,UAB „Indigroup“,4900-5400,True
3D Models Designer,UAB „People Link“,2000-3500,True
Informacinių Sistemų Architektas (-ė),UAB „Indigroup“,4000-5500,True
Solutions Architect,UAB „People Link“,3290-5000,True
APPLICATION SOFTWARE ENGINEER,UAB „Viltechmeda“,Nuo 3000,True
SOFTWARE QUALITY ASSURANCE TEAM LEAD,UAB „Viltechmeda“,Nuo 4600,True
IT sistemų administratorius (-ė),UAB „People Link“,1954-2975,True
Senior Frontend Developer (Angular),UAB „Geros technologijos“,5000-6000,True
Data Engineer,Oxylabs,1950-5100,True
Cloud Operations Engineer (Cloud Operations Team),Revel Systems,3800-5500,True
Data Analyst,UAB „HOSTINGER“,2500-4000,True
Senior Python Developer,Oxylabs,3100-5950,True
PHP Developer,Oxylabs,1650-4500,True
Learning & Development Manager,Oxylabs,2400-3500,True
CRM Business Analyst,Oxylabs,1800-2600,True
